title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
4 bedroom detached duplex for sale,340000000.0,Akobo,4.0,4.0,5.0,620,duplex,85000000.0,548387.0967741936
5 bedroom detached duplex for sale,180000000.0,New Bodija,5.0,5.0,6.0,350,duplex,36000000.0,514285.71428571426
3 bedroom house for sale,130000000.0,Ologuneru,3.0,3.0,4.0,350,other,43333333.333333336,371428.5714285714
4 bedroom detached duplex for sale,190000000.0,Star Gate Oluyole Estate,4.0,4.0,4.0,350,duplex,47500000.0,542857.1428571428
7 bedroom detached duplex for sale,250000000.0,Oluyole Estate,7.0,7.0,8.0,350,duplex,35714285.71428572,714285.7142857143
10 bedroom house for sale,50000000.0,alakia Junction New Ife Road,10.0,6.0,6.0,350,other,5000000.0,142857.14285714287
3 bedroom detached bungalow for sale,65000000.0,Elebu Off Akala Express,3.0,3.0,4.0,350,bungalow,21666666.666666668,185714.2857142857
4 bedroom detached duplex for sale,330000000.0,Oluyole Estate,4.0,4.0,5.0,350,duplex,82500000.0,942857.1428571428
3 bedroom detached duplex for sale,290000000.0,Jericho,3.0,4.0,4.0,350,duplex,96666666.66666667,828571.4285714285
4 bedroom detached duplex for sale,270000000.0,Akobo,4.0,5.0,5.0,350,duplex,67500000.0,771428.5714285715
3 bedroom detached bungalow for sale,50000000.0,Ologuneru,3.0,3.0,4.0,350,bungalow,16666666.666666666,142857.14285714287
4 bedroom detached duplex for sale,180000000.0,Kolapo Ishola Gra,4.0,4.0,5.0,400,duplex,45000000.0,450000.0
4 bedroom semi-detached duplex for sale,200000000.0,Kolapo Ishola Gra,4.0,4.0,4.0,400,duplex,50000000.0,500000.0
4 bedroom detached duplex for sale,385000000.0,Old Bodija,4.0,4.0,4.0,400,duplex,96250000.0,962500.0
5 bedroom semi-detached duplex for sale,130000000.0,Ile Tuntun,5.0,5.0,5.0,400,duplex,26000000.0,325000.0
4 bedroom detached duplex for sale,340000000.0,Oluyole Estate,4.0,4.0,5.0,400,duplex,85000000.0,850000.0
4 bedroom detached duplex for sale,45000000.0,Apata,4.0,4.0,4.0,400,duplex,11250000.0,112500.0
5 bedroom detached duplex for sale,350000000.0,Kolapo Ishola Gra,5.0,5.0,5.0,400,duplex,70000000.0,875000.0
4 bedroom semi-detached duplex for sale,250000000.0,Jericho Gra,4.0,4.0,5.0,400,duplex,62500000.0,625000.0
5 bedroom detached duplex for sale,450000000.0,Akobo,5.0,5.0,6.0,400,duplex,90000000.0,1125000.0
